bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
3044640025,3327470  ,2635 Linden Blvd.,11208,K-12 School,18,2009,58700,1,2,193.5,11359321.7,8.66,6.4,K-12 School,,0,2866452.3,,2059037.5,,,,,,,
3009747504,3392416,302 2nd street,11215,Multifamily Housing,6,2008,58676,1,13,202.2,11865696.1,13.76,7.28,Multifamily Housing,,0,2442804.3,82.15,3773164.2,,,68,,,,
1008610064,1017000,148 Madison Avenue,10016,Office,49,1917,71871,1,16,228.2,16404088.5,,7.01,Office,,0,4862451.4,,,787030.5,2.04533,,,,,
3009670024,3020761,338 3rd Avenue,11215,Self-Storage Facility,,2012,70240,5,4,99.4,6984021.7,0.85,2.98,Self-Storage Facility,,0,2251891.5,,9372.7,,,,,,,
3088330200,3412420,2461 Knapp St,11235,Distribution Center,44,2006,60117,1,3,54.7,3291179.9,0.83,1.81,Distribution Center,,0,825939.4,,604500,,,,,,,
1010540041,1083762,420 West 45th Street,10036,Office,25,1918,65000,2,7,195.3,12691481.5,4.69,6.55,Office,,0,3549208.1,,153380.6,,0.15385,,,1169606,,
1008460002,1016110,101 5 ave,10003,Office,100,1908,71980,1,11,55.3,3981833.3,17.26,3.32,Office,,0,227412.8,,,,2.3,,,,2936501.9,
2039371011,2096624,1409 Metropolitan Ave,10462,Retail Store,92,1941,200779,,,86.8,17433906.9,2.62,2.62,Retail Store,,0,5673803,,,,,,,,,
3025030001,,198 West Street,11222,Office,100,1931,104200,1,3,67.9,7072029,,2.27,Office,,0,1604308,,1646119.1,,2.30326,,,,,
1007940011,"1090188;1014714",155 W 18th Street,10011,Multifamily Housing,100,2014,79000,1,11,55.2,4360439.8,,1.51,Multifamily Housing,,0,1286515.1,80,,,,32,,,,
4052000039,"4117387;4581418",140-15 Holly Avenue,11355,Multifamily Housing,82,1960,100000,2,7,108.9,10891313.3,67.3,5.72,Multifamily Housing,,0,1428504.3,145,,,,92,,,5920875.8,
1017457502,"1088264;1800311",1465 5th Ave,10035,Multifamily Housing,97,2010,83037,2,8,80.4,6673979.6,,2.79,Multifamily Housing,,0,1564366.6,122,1634152,,,80,,,,
1014937504,1046670,944 Park Ave,10028,Multifamily Housing,18,1929,55200,1,15,151.3,8349308.7,31.99,5.67,Multifamily Housing,,0,1558197,44,3167870.5,,,20,,,,
1014740031,1046251,500 East 62nd Street,10021,Hotel,40,1974,149262,1,20,216.8,32358320.5,39.51,7.68,Hotel,"{'Hotel': 146262.0, 'Restaurant': 3000.0}",0,7529456.7,,8431322,,,,,,,
1010410011,1082646,341-349 W 50 Street,10019,Multifamily Housing,14,1930,150001,2,13,180.5,27081667.2,,7.38,Multifamily Housing,,0,3242388.3,222,15180117.2,,,151,,,,
1012730031,1035073,"3 West 57th Street, New York",10019,Office,94,1970,63020,1,12,106.2,6691004,,3.7,Office,"{'Retail Store': 5000.0, 'Office': 58020.0}",0,1459715.9,,,1471539.7,2.06825,,,,,
3032210031,3073257,70 Wyckoff Avenue,11237,Other,,1920,67000,1,4,81.6,5470019.9,26.96,3.07,Other,,0,1093184.4,,1958645.1,,,,,,,
1013960007,1041965,"115 East 61st Street, New York",10065,Medical Office,77,1930,64021,1,14,158.3,10132277.4,28.03,6.31,Medical Office,,0,2392926.6,,,,,,,,2451473.6,
4096790200,4206836,90-23 149th Street,11435,Multifamily Housing,87,1979,110150,1,6,104.5,11507408.7,,4.16,Multifamily Housing,,0,1469291.5,180,6065197.2,,,101,,,,
3067820050,,1909 Quentin Road,11229,Multifamily Housing,100,1922,66000,1,6,89.7,5923394.9,66.46,3.71,Multifamily Housing,,0,683295.5,212,3413399.8,,,65,,,,
1008240032,,3 West 22nd Street,10010,Office,39,1901,74027,1,10,255.4,18905866.9,20.95,8.26,Office,,0,5195170.4,,2428687.2,,2.29646,,,,,
1006467502,1012223,450 West 14th Street,10014,Office,71,2010,105407,1,15,188.6,19883220.2,1.13,6.11,Office,,0,5289652.3,,2888577.2,,2.37176,,,,,
4123230036,4267002,112-25 167th St,11433,Multifamily Housing,75,1965,64760,1,6,113,7317796,,4.53,Multifamily Housing,,0,915763.7,90.66,3927500.4,,,45,,,,
1007737502,1014149,213 West 23rd St,10011,Multifamily Housing,,1900,68950,1,10,174.7,12046820,,5.81,Multifamily Housing,,0,3316379,96.53,1743800.2,,,12,,,,
1008870001,1018457,461 Park Ave South,10016,Office,68,1935,54500,1,12,153.7,8379033.3,,4.79,Office,,0,2607109.3,,359700,,2.3,,,,,
1005640034,1009208,828 Broadway,10003,Office,89,1903,119000,1,11,152.5,18152367.8,3.03,5.47,Office,,0,4867577.4,,230232.3,,3.05042,,,2482908.9,,
3051220056,3117605,221 East 18th Street,11226,Multifamily Housing,91,1940,67500,1,6,88,5938046,32.17,3.57,Multifamily Housing,,0,757952.9,69,3219091.7,,,60,,,,
1012170054,1032216,160 West 87th St,10024,Multifamily Housing,85,1914,59408,1,9,100.3,5955915.5,25.86,3.98,Multifamily Housing,,0,785867,71,3074823.4,,,38,,,,
